sep =,
Month,Region,Product,Average
May 2022,Metro,ULP,173.200000
April 2022,Metro,ULP,168.800000
March 2022,Metro,ULP,198.200000
February 2022,Metro,ULP,178.600000
January 2022,Metro,ULP,167.000000
December 2021,Metro,ULP,161.700000
November 2021,Metro,ULP,166.800000
October 2021,Metro,ULP,160.900000
September 2021,Metro,ULP,151.400000
August 2021,Metro,ULP,148.100000
July 2021,Metro,ULP,148.500000
June 2021,Metro,ULP,140.700000
May 2021,Metro,ULP,138.500000
April 2021,Metro,ULP,139.500000
March 2021,Metro,ULP,137.300000
February 2021,Metro,ULP,130.300000
January 2021,Metro,ULP,122.400000
December 2020,Metro,ULP,118.900000
November 2020,Metro,ULP,115.600000
October 2020,Metro,ULP,117.800000
September 2020,Metro,ULP,117.100000
August 2020,Metro,ULP,117.300000
July 2020,Metro,ULP,121.100000
June 2020,Metro,ULP,114.400000
May 2020,Metro,ULP,103.100000
April 2020,Metro,ULP,100.500000
March 2020,Metro,ULP,123.300000
February 2020,Metro,ULP,135.600000
January 2020,Metro,ULP,143.700000
December 2019,Metro,ULP,144.900000
November 2019,Metro,ULP,144.400000
October 2019,Metro,ULP,145.900000
September 2019,Metro,ULP,141.600000
August 2019,Metro,ULP,139.200000
July 2019,Metro,ULP,140.000000
June 2019,Metro,ULP,138.100000
May 2019,Metro,ULP,149.300000
April 2019,Metro,ULP,145.900000
March 2019,Metro,ULP,137.100000
February 2019,Metro,ULP,129.800000
January 2019,Metro,ULP,127.800000
December 2018,Metro,ULP,129.400000
November 2018,Metro,ULP,145.400000
October 2018,Metro,ULP,157.400000
September 2018,Metro,ULP,148.500000
August 2018,Metro,ULP,143.900000
July 2018,Metro,ULP,146.300000
June 2018,Metro,ULP,148.500000
May 2018,Metro,ULP,147.200000
April 2018,Metro,ULP,138.900000
March 2018,Metro,ULP,135.700000
February 2018,Metro,ULP,137.400000
January 2018,Metro,ULP,137.900000
December 2017,Metro,ULP,137.300000
November 2017,Metro,ULP,135.600000
October 2017,Metro,ULP,129.300000
September 2017,Metro,ULP,127.100000
August 2017,Metro,ULP,123.300000
July 2017,Metro,ULP,118.500000
June 2017,Metro,ULP,124.100000
May 2017,Metro,ULP,125.900000
April 2017,Metro,ULP,126.100000
March 2017,Metro,ULP,129.300000
February 2017,Metro,ULP,132.500000
January 2017,Metro,ULP,133.600000
December 2016,Metro,ULP,127.100000
November 2016,Metro,ULP,123.600000
October 2016,Metro,ULP,114.500000
September 2016,Metro,ULP,111.300000
August 2016,Metro,ULP,113.000000
July 2016,Metro,ULP,120.100000
June 2016,Metro,ULP,123.200000
May 2016,Metro,ULP,113.600000
April 2016,Metro,ULP,111.100000
March 2016,Metro,ULP,111.100000
February 2016,Metro,ULP,110.200000
January 2016,Metro,ULP,118.500000
December 2015,Metro,ULP,123.400000
November 2015,Metro,ULP,122.600000
October 2015,Metro,ULP,127.300000
September 2015,Metro,ULP,129.100000
August 2015,Metro,ULP,133.700000
July 2015,Metro,ULP,137.600000
June 2015,Metro,ULP,138.100000
May 2015,Metro,ULP,135.400000
April 2015,Metro,ULP,129.600000
March 2015,Metro,ULP,129.100000
February 2015,Metro,ULP,118.700000
January 2015,Metro,ULP,114.800000
December 2014,Metro,ULP,126.400000
November 2014,Metro,ULP,137.700000
October 2014,Metro,ULP,144.900000
September 2014,Metro,ULP,144.200000
August 2014,Metro,ULP,146.100000
July 2014,Metro,ULP,153.300000
June 2014,Metro,ULP,152.700000
May 2014,Metro,ULP,152.600000
April 2014,Metro,ULP,151.800000
March 2014,Metro,ULP,154.200000
February 2014,Metro,ULP,153.700000
January 2014,Metro,ULP,154.500000
December 2013,Metro,ULP,151.100000
November 2013,Metro,ULP,144.800000
October 2013,Metro,ULP,146.200000
September 2013,Metro,ULP,150.800000
August 2013,Metro,ULP,150.100000
July 2013,Metro,ULP,152.200000
June 2013,Metro,ULP,145.900000
May 2013,Metro,ULP,138.000000
April 2013,Metro,ULP,138.800000
March 2013,Metro,ULP,147.400000
February 2013,Metro,ULP,147.500000
January 2013,Metro,ULP,140.500000
December 2012,Metro,ULP,139.600000
November 2012,Metro,ULP,139.600000
October 2012,Metro,ULP,145.100000
September 2012,Metro,ULP,145.000000
August 2012,Metro,ULP,142.400000
July 2012,Metro,ULP,133.500000
June 2012,Metro,ULP,139.300000
May 2012,Metro,ULP,147.600000
April 2012,Metro,ULP,151.200000
March 2012,Metro,ULP,148.300000
February 2012,Metro,ULP,142.800000
January 2012,Metro,ULP,141.300000
December 2011,Metro,ULP,139.000000
November 2011,Metro,ULP,140.500000
October 2011,Metro,ULP,145.600000
September 2011,Metro,ULP,143.500000
August 2011,Metro,ULP,139.800000
July 2011,Metro,ULP,139.800000
June 2011,Metro,ULP,138.800000
May 2011,Metro,ULP,143.400000
April 2011,Metro,ULP,143.900000
March 2011,Metro,ULP,142.100000
February 2011,Metro,ULP,134.800000
January 2011,Metro,ULP,132.100000
December 2010,Metro,ULP,127.800000
November 2010,Metro,ULP,120.900000
October 2010,Metro,ULP,121.400000
September 2010,Metro,ULP,122.100000
August 2010,Metro,ULP,124.500000
July 2010,Metro,ULP,126.200000
June 2010,Metro,ULP,127.600000
May 2010,Metro,ULP,129.200000
April 2010,Metro,ULP,128.400000
March 2010,Metro,ULP,126.200000
February 2010,Metro,ULP,123.000000
January 2010,Metro,ULP,120.000000
December 2009,Metro,ULP,117.100000
November 2009,Metro,ULP,115.800000
October 2009,Metro,ULP,117.000000
September 2009,Metro,ULP,121.100000
August 2009,Metro,ULP,121.400000
July 2009,Metro,ULP,120.300000
June 2009,Metro,ULP,123.000000
May 2009,Metro,ULP,117.400000
April 2009,Metro,ULP,117.900000
March 2009,Metro,ULP,113.800000
February 2009,Metro,ULP,115.300000
January 2009,Metro,ULP,105.500000
December 2008,Metro,ULP,101.900000
November 2008,Metro,ULP,121.800000
October 2008,Metro,ULP,147.200000
September 2008,Metro,ULP,147.200000
August 2008,Metro,ULP,145.900000
July 2008,Metro,ULP,156.900000
June 2008,Metro,ULP,157.800000
May 2008,Metro,ULP,148.900000
April 2008,Metro,ULP,143.100000
March 2008,Metro,ULP,139.700000
February 2008,Metro,ULP,136.100000
January 2008,Metro,ULP,138.600000
December 2007,Metro,ULP,137.100000
November 2007,Metro,ULP,130.500000
October 2007,Metro,ULP,124.300000
September 2007,Metro,ULP,123.800000
August 2007,Metro,ULP,122.700000
July 2007,Metro,ULP,126.700000
June 2007,Metro,ULP,129.900000
May 2007,Metro,ULP,130.200000
April 2007,Metro,ULP,124.800000
March 2007,Metro,ULP,122.500000
February 2007,Metro,ULP,114.900000
January 2007,Metro,ULP,115.200000
December 2006,Metro,ULP,115.700000
November 2006,Metro,ULP,112.700000
October 2006,Metro,ULP,116.300000
September 2006,Metro,ULP,122.400000
August 2006,Metro,ULP,133.300000
July 2006,Metro,ULP,135.000000
June 2006,Metro,ULP,135.500000
May 2006,Metro,ULP,135.600000
April 2006,Metro,ULP,128.600000
March 2006,Metro,ULP,120.600000
February 2006,Metro,ULP,117.900000
January 2006,Metro,ULP,117.700000
December 2005,Metro,ULP,112.700000
November 2005,Metro,ULP,115.600000
October 2005,Metro,ULP,124.400000
September 2005,Metro,ULP,130.200000
August 2005,Metro,ULP,117.100000
July 2005,Metro,ULP,110.900000
June 2005,Metro,ULP,104.300000
May 2005,Metro,ULP,103.200000
April 2005,Metro,ULP,107.900000
March 2005,Metro,ULP,104.700000
February 2005,Metro,ULP,98.700000
January 2005,Metro,ULP,94.600000
December 2004,Metro,ULP,97.800000
November 2004,Metro,ULP,103.700000
October 2004,Metro,ULP,104.500000
September 2004,Metro,ULP,102.000000
August 2004,Metro,ULP,101.000000
July 2004,Metro,ULP,94.600000
June 2004,Metro,ULP,98.400000
May 2004,Metro,ULP,97.800000
April 2004,Metro,ULP,93.000000
March 2004,Metro,ULP,93.200000
February 2004,Metro,ULP,90.600000
January 2004,Metro,ULP,93.800000
December 2003,Metro,ULP,90.600000
November 2003,Metro,ULP,89.800000
October 2003,Metro,ULP,88.800000
September 2003,Metro,ULP,91.500000
August 2003,Metro,ULP,92.700000
July 2003,Metro,ULP,89.700000
June 2003,Metro,ULP,86.200000
May 2003,Metro,ULP,85.700000
April 2003,Metro,ULP,91.300000
March 2003,Metro,ULP,101.500000
February 2003,Metro,ULP,99.000000
January 2003,Metro,ULP,94.400000
December 2002,Metro,ULP,90.400000
November 2002,Metro,ULP,89.800000
October 2002,Metro,ULP,92.700000
September 2002,Metro,ULP,92.100000
August 2002,Metro,ULP,89.800000
July 2002,Metro,ULP,89.200000
June 2002,Metro,ULP,87.200000
May 2002,Metro,ULP,90.400000
April 2002,Metro,ULP,90.700000
March 2002,Metro,ULP,87.900000
February 2002,Metro,ULP,82.400000
January 2002,Metro,ULP,81.100000
December 2001,Metro,ULP,82.400000
November 2001,Metro,ULP,80.400000
October 2001,Metro,ULP,84.900000
September 2001,Metro,ULP,91.400000
August 2001,Metro,ULP,84.900000
July 2001,Metro,ULP,85.200000
June 2001,Metro,ULP,89.400000
May 2001,Metro,ULP,98.400000
April 2001,Metro,ULP,93.700000
March 2001,Metro,ULP,93.300000
February 2001,Metro,ULP,92.800000
January 2001,Metro,ULP,85.000000
